tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-02 16:23:36,2022-01-02 16:27:23,5.0,8.9,1.26,3
2022-01-02 16:15:29,2022-01-02 16:20:00,0.0,11.15,0.8,4
2022-01-02 15:38:19,2022-01-02 15:43:11,1.0,10.56,0.95,4
2022-01-02 16:38:37,2022-01-02 16:42:31,6.0,10.79,1.02,3
2022-01-02 16:45:56,2022-01-02 16:48:32,1.0,9.3,1.06,2
2022-01-02 16:27:49,2022-01-02 16:32:32,3.0,10.3,1.18,4
2022-01-02 16:11:48,2022-01-02 16:17:13,2.0,9.3,1.35,5
2022-01-02 17:54:05,2022-01-02 18:01:20,3.0,10.8,1.0,7
2022-01-02 17:29:55,2022-01-02 17:39:50,2.0,14.72,1.9,9
2022-01-02 17:49:01,2022-01-02 17:54:22,1.0,11.76,1.36,5
2022-01-02 17:52:01,2022-01-02 17:57:03,1.0,11.3,1.2,5
2022-01-02 17:14:45,2022-01-02 17:17:50,1.0,9.75,0.7,3
2022-01-02 17:47:15,2022-01-02 17:55:43,6.0,12.8,1.31,8
2022-01-02 17:31:36,2022-01-02 17:38:41,3.0,12.3,1.74,7
2022-01-02 17:04:27,2022-01-02 17:09:16,1.0,9.3,1.23,4
2022-01-02 17:54:54,2022-01-02 18:00:15,3.0,11.15,0.9,5
2022-01-02 17:35:35,2022-01-02 17:43:05,1.0,10.8,1.43,7
2022-01-02 17:25:42,2022-01-02 17:30:45,0.0,8.8,1.0,5
2022-01-02 17:04:39,2022-01-02 17:11:47,3.0,10.3,0.94,7
2022-01-02 17:40:28,2022-01-02 17:49:56,1.0,17.3,1.84,9
